number,title,detail_url,dozierende
252-0852-00L,Grundlagen der Informatik,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193758&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"M. Dahinden, L. E. Fässler"
401-0643-13L,Statistik II,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193301&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,J. Dambon
529-0015-00L,Physikalische Chemie,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=194111&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"G. Jeschke, D. Klose"
529-0229-00L,Praktikum Organische Chemie (für Biol./Pharm.Wiss.),https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193255&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"C. Thilgen, M.‑O. Ebert, M. Levasseur, B. M. Lewandowski, R. Zenobi"
701-2413-00L,Evolutionary Genetics,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=194076&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"T. Städler, A. Widmer, T. J. Priklopil"
551-0307-00L,Molecular and Structural Biology I: Molecular Mechanisms of Gene Expression and Protein Biogenesis,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=194038&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"N. Ban, S. Jonas, M. Pilhofer, E. Weber-Ban, M. Wieczorek"
551-0309-00L,Concepts in Modern Genetics,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=194135&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"Y. Barral, E. A. Brunner, A. Hajnal, O. Voinnet"
551-0311-00L,Molecular Life of Plants,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=192635&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"S. C. Zeeman, M. Dukic, B. Pfister, M. Sharma, O. Voinnet"
551-0313-00L,Microbiology (Part I),https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=194105&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"W.‑D. Hardt, L. Eberl, J. Newson, J. Piel, M. Pilhofer, A. Vagstad"
551-0319-00L,Cellular Biochemistry (Part I),https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=194364&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"U. Kutay, F. Allain, T. Kleele, I. Zemp"
551-0317-00L,Immunology I,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193423&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"M. Kopf, I. Quast"
551-1299-00L,Bioinformatics,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=192936&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"S. Sunagawa, P. Beltrao, V. Boeva, A. Kahles, C. von Mering, N. Zamboni"
529-0731-00L,Nucleic Acids and Carbohydrates,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=194577&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"M. Frei, P. A. Kast, K. Lang, B. M. Lewandowski, H. Wennemers"
701-1413-00L,Population and Quantitative Genetics,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193525&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"T. Städler, T. J. Priklopil"
551-1129-00L,Understanding and Engineering Microbial Metabolism,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193745&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,J. Vorholt-Zambelli
