number,title,detail_url,dozierende
101-0469-00L,Strassenverkehrssicherheit,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=192951&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"M. Deublein, P. Eberling"
101-0491-00L,Agent Based Modeling in Transportation,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193139&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"M. Balac, G. O. Kagho"
101-0492-00L,Microscopic Modelling and Simulation of Traffic Operations,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193554&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,K. Riehl
101-0367-00L,Geotechnical Engineering in Transportation and Pavement Design,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193018&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,D. Hauswirth
101-0419-02L,Bahninfrastrukturen 2,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=194318&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"U. A. Weidmann, M. Kohler, M. J. Manhart"
101-0491-10L,Basics of Java and Best Practices for Scientific Computing,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193349&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,M. Balac
101-0249-00L,Hydraulic Engineering III,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193288&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,R. Boes
101-0289-00L,Applied Glaciology,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193307&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"D. Farinotti, A. Bauder, M. van Tiel, M. Werder"
101-1249-00L,Hydraulics of Engineering Structures,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=194498&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"I. Albayrak, C. Streule"
102-0215-00L,Siedlungswasserwirtschaft II,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=194046&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,P. Staufer
101-1250-00L,Transport Processes in Torrents,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=194343&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,I. Schalko
